,provinsi,daerah,jenis,tahun,pengeluaran,kategori_pengeluaran,Cluster,cluster_opt,daerah_asli,jenis_asli,pengeluaran_asli
196,SUMATERA UTARA,2,1,2007,0.06747005734894052,rendah,1,2,PERKOTAAN,NONMAKANAN,225606.0
197,SUMATERA UTARA,2,1,2008,0.07742167792384103,rendah,1,2,PERKOTAAN,NONMAKANAN,250147.99999999997
198,SUMATERA UTARA,2,1,2009,0.08741019840389663,rendah,1,2,PERKOTAAN,NONMAKANAN,274781.0
199,SUMATERA UTARA,2,1,2010,0.10918763034080509,rendah,1,2,PERKOTAAN,NONMAKANAN,328487.0
200,SUMATERA UTARA,2,1,2011,0.10288017952006606,rendah,1,2,PERKOTAAN,NONMAKANAN,312932.00000000006
201,SUMATERA UTARA,2,1,2012,0.10435901418051191,rendah,1,2,PERKOTAAN,NONMAKANAN,316579.0
202,SUMATERA UTARA,2,1,2013,0.130390883533762,rendah,1,2,PERKOTAAN,NONMAKANAN,380777.0
203,SUMATERA UTARA,2,1,2014,0.13049225689957264,rendah,2,2,PERKOTAAN,NONMAKANAN,381026.99999999994
204,SUMATERA UTARA,2,1,2015,0.1599237834486489,sedang,2,2,PERKOTAAN,NONMAKANAN,453609.0
205,SUMATERA UTARA,2,1,2016,0.16835602001677932,sedang,2,2,PERKOTAAN,NONMAKANAN,474404.0
206,SUMATERA UTARA,2,1,2017,0.17540714584910533,sedang,2,2,PERKOTAAN,NONMAKANAN,491792.99999999994
207,SUMATERA UTARA,2,1,2018,0.19683139297952948,sedang,2,2,PERKOTAAN,NONMAKANAN,544628.0
208,SUMATERA UTARA,2,1,2019,0.21416340007890902,sedang,0,2,PERKOTAAN,NONMAKANAN,587371.0
209,SUMATERA UTARA,2,1,2020,0.23542261136979342,sedang,0,2,PERKOTAAN,NONMAKANAN,639799.0
210,SUMATERA UTARA,2,1,2021,0.24245224604856758,tinggi,0,2,PERKOTAAN,NONMAKANAN,657135.0
211,SUMATERA UTARA,2,1,2022,0.24721111733318302,tinggi,0,2,PERKOTAAN,NONMAKANAN,668871.0
212,SUMATERA UTARA,2,2,2007,0.15165293327888907,sedang,1,1,PERKOTAAN,TOTAL,433212.0
213,SUMATERA UTARA,2,2,2008,0.16967995617426648,sedang,1,1,PERKOTAAN,TOTAL,477669.0
214,SUMATERA UTARA,2,2,2009,0.19189004963645484,sedang,1,1,PERKOTAAN,TOTAL,532442.0
215,SUMATERA UTARA,2,2,2010,0.22621061087184746,sedang,1,1,PERKOTAAN,TOTAL,617081.0
216,SUMATERA UTARA,2,2,2011,0.23441942054173115,sedang,1,1,PERKOTAAN,TOTAL,637325.0
217,SUMATERA UTARA,2,2,2012,0.24588920864301206,tinggi,1,1,PERKOTAAN,TOTAL,665611.0
218,SUMATERA UTARA,2,2,2013,0.2777788365662651,tinggi,1,1,PERKOTAAN,TOTAL,744255.0
219,SUMATERA UTARA,2,2,2014,0.29930689002327937,tinggi,2,1,PERKOTAAN,TOTAL,797346.0
220,SUMATERA UTARA,2,2,2015,0.32863866518039797,tinggi,2,1,PERKOTAAN,TOTAL,869682.0
221,SUMATERA UTARA,2,2,2016,0.36832187746717426,tinggi,2,1,PERKOTAAN,TOTAL,967546.0
222,SUMATERA UTARA,2,2,2017,0.39992482151191483,tinggi,2,1,PERKOTAAN,TOTAL,1045483.0
223,SUMATERA UTARA,2,2,2018,0.4345316611323567,tinggi,2,1,PERKOTAAN,TOTAL,1130828.0
224,SUMATERA UTARA,2,2,2019,0.462380546694397,tinggi,0,1,PERKOTAAN,TOTAL,1199507.0
225,SUMATERA UTARA,2,2,2020,0.4963398132540404,tinggi,0,1,PERKOTAAN,TOTAL,1283255.0
226,SUMATERA UTARA,2,2,2021,0.49809884389758696,tinggi,0,1,PERKOTAAN,TOTAL,1287593.0
227,SUMATERA UTARA,2,2,2022,0.5267842624742968,tinggi,0,1,PERKOTAAN,TOTAL,1358335.0
